bill,key,value
第196回国会衆法第37号,TAG,夫婦別姓
第196回国会衆法第42号,ALIAS,国民投票法改正案
第196回国会衆法第42号,TAG,憲法改正
第196回国会衆法第42号,TAG,国民投票
第201回国会閣法第1号,TAG,東日本大震災
第201回国会閣法第3号,TAG,NISA
第201回国会閣法第3号,TAG,5G
第201回国会閣法第3号,TAG,ベンチャー
第201回国会閣法第4号,TAG,宇宙
第201回国会閣法第4号,TAG,サイバー
第201回国会閣法第5号,ALIAS,スーパーシティ法
第201回国会閣法第5号,ALIAS,AI都市法
第201回国会閣法第7号,TAG,東日本大震災
第201回国会閣法第14号,ALIAS,改正バリアフリー法
第201回国会閣法第23号,ALIAS,巨大IT規制法
第201回国会閣法第25号,TAG,豚熱
第201回国会閣法第26号,ALIAS,エネルギー供給強靱化法
第201回国会閣法第27号,ALIAS,電話リレーサービス法
第201回国会閣法第27号,TAG,手話
第201回国会閣法第29号,TAG,ドローン
第201回国会閣法第29号,TAG,ラジコン
第201回国会閣法第31号,TAG,乗合バス
第201回国会閣法第31号,TAG,地銀
第201回国会閣法第32号,ALIAS,第9次地方分権一括法
第201回国会閣法第42号,TAG,あおり運転
第201回国会閣法第49号,TAG,海賊版
第201回国会閣法第50号,ALIAS,中小企業成長促進法案
第201回国会閣法第52号,ALIAS,検察庁法改正案
第201回国会閣法第53号,TAG,地方公務員
第201回国会閣法第53号,TAG,定年引き上げ
第201回国会閣法第54号,ALIAS,新型コロナ税特法
第201回国会閣法第56号,ALIAS,改正五輪特別措置法
第201回国会閣法第57号,ALIAS,REVIC法改正案
第201回国会閣法第59号,ALIAS,新型コロナ対応休業支援金
第201回国会衆法第1号,TAG,カジノ
第201回国会衆法第1号,TAG,IR
第201回国会衆法第3号,ALIAS,新型コロナウイルス検査拡充法案
第201回国会衆法第9号,ALIAS,事業者家賃支払い支援法案
第201回国会衆法第14号,ALIAS,コロナ困窮学生支援法案
第201回国会衆法第18号,ALIAS,セクハラ禁止法案
第201回国会衆法第20号,ALIAS,給付金差し押さえ禁止法案
第201回国会衆法第21号,ALIAS,給付金差し押さえ禁止法案
第201回国会衆法第23号,ALIAS,ため池特措法
第201回国会衆法第24号,ALIAS,給付金差し押さえ禁止法案
第203回国会閣法第2号,ALIAS,被災者支援法改正案
第203回国会参法第13号,ALIAS,生殖医療法案
第203回国会衆法第1号,ALIAS,休業支援金拡充法案
第204回国会閣法第1号,TAG,地方交付税
第204回国会閣法第2号,TAG,ポスト5G
第204回国会閣法第4号,TAG,公債
第204回国会閣法第5号,TAG,大学ファンド
第204回国会閣法第6号,ALIAS,改正特措法
第204回国会閣法第6号,ALIAS,感染症法改正案
第204回国会閣法第6号,ALIAS,新型コロナ特措法
第204回国会閣法第6号,TAG,コロナ
第204回国会閣法第6号,TAG,まん延防止
第204回国会閣法第6号,TAG,過料
第204回国会閣法第7号,ALIAS,税制改正関連法案
第204回国会閣法第7号,ALIAS,税制改正法案
第204回国会閣法第7号,TAG,税制改正
第204回国会閣法第8号,TAG,原発
第204回国会閣法第9号,TAG,地方税
第204回国会閣法第10号,TAG,地方交付税
第204回国会閣法第11号,TAG,関税
第204回国会閣法第12号,TAG,JR
第204回国会閣法第12号,TAG,経営支援
第204回国会閣法第13号,TAG,踏切
第204回国会閣法第14号,ALIAS,改正児童手当法
第204回国会閣法第14号,ALIAS,児童手当関連法改正案
第204回国会閣法第14号,TAG,給付縮小
第204回国会閣法第14号,TAG,児童手当
